"geneSet","description","NES","FDR","Function","Datatype"
"GO:0002181","cytoplasmic translation",-2.76115676532706,0,"GO","FP_CTCDT"
"GO:0010257","NADH dehydrogenase complex assembly",-2.21287376372785,0.00044218552328986,"GO","FP_CTCDT"
"GO:0050727","regulation of inflammatory response",-2.18185538245763,0.00117916139543963,"GO","FP_CTCDT"
"GO:0050900","leukocyte migration",-2.11361693424402,0.00162134691872949,"GO","FP_CTCDT"
"GO:0006882","intracellular zinc ion homeostasis",-2.15297133159157,0.00176874209315944,"GO","FP_CTCDT"
"GO:0006959","humoral immune response",-2.11431382992054,0.00194561630247539,"GO","FP_CTCDT"
"GO:0022900","electron transport chain",-2.08979529697192,0.00202141953503936,"GO","FP_CTCDT"
"GO:0022613","ribonucleoprotein complex biogenesis",-2.05415847563009,0.0028496400389791,"GO","FP_CTCDT"
"GO:0070555","response to interleukin-1",-2.05964669039744,0.00287420590138409,"GO","FP_CTCDT"
"GO:0045730","respiratory burst",-2.03735813472135,0.00300686155837105,"GO","FP_CTCDT"
"GO:0044703","multi-organism reproductive process",-2.01115059721335,0.00426106049715684,"GO","FP_CTCDT"
"GO:0090594","inflammatory response to wounding",-2.0068585466851,0.00434815764568363,"GO","FP_CTCDT"
"GO:0002237","response to molecule of bacterial origin",-2.00096697378228,0.00435382669085401,"GO","FP_CTCDT"
"GO:0009620","response to fungus",-1.99388968976496,0.00435868587242862,"GO","FP_CTCDT"
"GO:0044706","multi-multicellular organism process",-1.96751305587332,0.00548310048879427,"GO","FP_CTCDT"
"GO:0042742","defense response to bacterium",-1.94930938999401,0.0067986024205816,"GO","FP_CTCDT"
"GO:0032609","type II interferon production",-1.94247120405401,0.00733507750398474,"GO","FP_CTCDT"
"GO:0042330","taxis",-1.91388364853762,0.00992460841161686,"GO","FP_CTCDT"
"GO:0002544","chronic inflammatory response",-1.8840354663675,0.0133586573878095,"GO","FP_CTCDT"
"GO:0001819","positive regulation of cytokine production",-1.86982378687233,0.0149900892395263,"GO","FP_CTCDT"
"GO:0032602","chemokine production",-1.86612164999412,0.0152027594197752,"GO","FP_CTCDT"
"GO:0002526","acute inflammatory response",-1.85530447135885,0.0159990762063059,"GO","FP_CTCDT"
"GO:0140053","mitochondrial gene expression",-1.84320169750306,0.0178796755069378,"GO","FP_CTCDT"
"GO:0002274","myeloid leukocyte activation",-1.83011973682189,0.0187486661874901,"GO","FP_CTCDT"
"GO:0006690","icosanoid metabolic process",-1.83258832291941,0.018940279914249,"GO","FP_CTCDT"
"GO:1990868","response to chemokine",-1.809007619146,0.0210985663969733,"GO","FP_CTCDT"
"GO:0002263","cell activation involved in immune response",-1.8114083342759,0.0213886775339466,"GO","FP_CTCDT"
"GO:0006749","glutathione metabolic process",-1.81146149499854,0.0222113189775599,"GO","FP_CTCDT"
"GO:0016072","rRNA metabolic process",-1.7758261246692,0.0262547654453355,"GO","FP_CTCDT"
"GO:0010573","vascular endothelial growth factor production",-1.78441744493163,0.026653113610713,"GO","FP_CTCDT"
