"geneSet","description","NES","FDR","Function","Datatype"
"R-HSA-1428517","The citric acid (TCA) cycle and respiratory electron transport",-2.22679816215974,0,"Reactome","FP_CTCDT"
"R-HSA-71291","Metabolism of amino acids and derivatives",-2.23912775910153,0,"Reactome","FP_CTCDT"
"R-HSA-163200","Respiratory electron transport",NA,-2.2574289327515,"Reactome","FP_CTCDT"
"R-HSA-611105","Respiratory electron transport",-2.32788677286857,0,"Reactome","FP_CTCDT"
"R-HSA-198725","Nuclear Events (kinase and transcription factor activation)",-2.41184302627661,0,"Reactome","FP_CTCDT"
"R-HSA-6783783","Interleukin-10 signaling",-2.45327202049387,0,"Reactome","FP_CTCDT"
"R-HSA-9031628","NGF-stimulated transcription",-2.46091329757281,0,"Reactome","FP_CTCDT"
"R-HSA-376176","Signaling by ROBO receptors",-2.49167147242717,0,"Reactome","FP_CTCDT"
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling",-2.5074891754513,0,"Reactome","FP_CTCDT"
"R-HSA-9735869","SARS-CoV-1 modulates host translation machinery",-2.56186913894623,0,"Reactome","FP_CTCDT"
"R-HSA-9754678","SARS-CoV-2 modulates host translation machinery",-2.57708168398262,0,"Reactome","FP_CTCDT"
"R-HSA-72649","Translation initiation complex formation",-2.60108794190264,0,"Reactome","FP_CTCDT"
"R-HSA-72702","Ribosomal scanning and start codon recognition",-2.62723746132285,0,"Reactome","FP_CTCDT"
"R-HSA-72662","Activation of the mRNA upon binding of the cap-binding complex and eIFs",-0.755024658461157,0,"Reactome","FP_CTCDT"
"R-HSA-72695","Formation of the ternary complex",NA,-2.64031769117094,"Reactome","FP_CTCDT"
"R-HSA-72312","rRNA processing",-2.74027548629053,0,"Reactome","FP_CTCDT"
"R-HSA-8868773","rRNA processing in the nucleus and cytosol",-2.74413469586369,0,"Reactome","FP_CTCDT"
"R-HSA-6791226","Major pathway of rRNA processing in the nucleolus and cytosol",-2.75349475910482,0,"Reactome","FP_CTCDT"
"R-HSA-9711097","Cellular response to starvation",-2.79582320555461,0,"Reactome","FP_CTCDT"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs",-2.80501142794023,0,"Reactome","FP_CTCDT"
"R-HSA-72766","Translation",-2.80660528365392,0,"Reactome","FP_CTCDT"
"R-HSA-927802","Nonsense-Mediated Decay (NMD)",-2.87413446747176,0,"Reactome","FP_CTCDT"
"R-HSA-975957","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",-2.87413446747176,0,"Reactome","FP_CTCDT"
"R-HSA-168255","Influenza Infection",-2.87525810565759,0,"Reactome","FP_CTCDT"
"R-HSA-168273","Influenza Viral RNA Transcription and Replication",-2.88915275957012,0,"Reactome","FP_CTCDT"
"R-HSA-2408522","Selenoamino acid metabolism",-2.94722902728021,0,"Reactome","FP_CTCDT"
"R-HSA-975956","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",-2.96958564034615,0,"Reactome","FP_CTCDT"
"R-HSA-2408557","Selenocysteine synthesis",-2.97897975784348,0,"Reactome","FP_CTCDT"
"R-HSA-72613","Eukaryotic Translation Initiation",-2.9876916579565,0,"Reactome","FP_CTCDT"
"R-HSA-72737","Cap-dependent Translation Initiation",-2.9876916579565,0,"Reactome","FP_CTCDT"
"R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression",-2.99249234875257,0,"Reactome","FP_CTCDT"
"R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit",-3.00120367085115,0,"Reactome","FP_CTCDT"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",-3.00151108294924,0,"Reactome","FP_CTCDT"
"R-HSA-72764","Eukaryotic Translation Termination",-3.00449219733598,0,"Reactome","FP_CTCDT"
"R-HSA-72689","Formation of a pool of free 40S subunits",-3.03573399502624,0,"Reactome","FP_CTCDT"
"R-HSA-192823","Viral mRNA Translation",-3.05302694943631,0,"Reactome","FP_CTCDT"
"R-HSA-156842","Eukaryotic Translation Elongation",-3.05437782733017,0,"Reactome","FP_CTCDT"
"R-HSA-9633012","Response of EIF2AK4 (GCN2) to amino acid deficiency",-3.05991129025881,0,"Reactome","FP_CTCDT"
"R-HSA-156902","Peptide chain elongation",-3.06965443126574,0,"Reactome","FP_CTCDT"
"R-HSA-6799198","Complex I biogenesis",-2.20132003295064,2.81023716231583e-05,"Reactome","FP_CTCDT"
"R-HSA-1236975","Antigen processing-Cross presentation",-2.18760314855378,8.22508437750973e-05,"Reactome","FP_CTCDT"
