SampleID,NumCells,Celltype
10101291,113,Neu
10101327,220,Neu
10102206,9,Neu
10222853,1026,Neu
10248033,532,Neu
10260309,430,Neu
10261026,652,Neu
10288185,1949,Neu
10290265,71,Neu
10514454,251,Neu
10536568,1222,Neu
11072071,708,Neu
11159965,385,Neu
11200645,131,Neu
11302830,274,Neu
11310718,399,Neu
11336574,85,Neu
11342432,982,Neu
11345331,1322,Neu
11399321,346,Neu
11399871,466,Neu
11409232,352,Neu
11609672,594,Neu
11630705,277,Neu
20104101,774,Neu
20112377,655,Neu
20149910,761,Neu
20170043,94,Neu
20173942,312,Neu
20179164,523,Neu
20207013,1347,Neu
20249897,489,Neu
20254740,167,Neu
20261901,191,Neu
20275399,627,Neu
20282398,710,Neu
20956867,106,Neu
20963866,178,Neu
20977678,296,Neu
20978133,167,Neu
21126823,919,Neu
21135554,960,Neu
21142003,600,Neu
21172121,6,Neu
21189544,1360,Neu
21412626,253,Neu
76647134,384,Neu
10101291,240,Oligo
10101327,467,Oligo
10102206,133,Oligo
10222853,235,Oligo
10248033,509,Oligo
10260309,326,Oligo
10261026,264,Oligo
10288185,810,Oligo
10290265,614,Oligo
10514454,972,Oligo
10536568,287,Oligo
11072071,541,Oligo
11159965,244,Oligo
11200645,780,Oligo
11302830,35,Oligo
11310718,220,Oligo
11336574,95,Oligo
11342432,282,Oligo
11345331,339,Oligo
11399321,655,Oligo
11399871,166,Oligo
11409232,80,Oligo
11609672,318,Oligo
11630705,368,Oligo
20104101,276,Oligo
20112377,370,Oligo
20149910,115,Oligo
20170043,408,Oligo
20173942,325,Oligo
20179164,137,Oligo
20207013,773,Oligo
20249897,192,Oligo
20254740,282,Oligo
20261901,86,Oligo
20275399,380,Oligo
20282398,123,Oligo
20956867,466,Oligo
20963866,1054,Oligo
20977678,301,Oligo
20978133,731,Oligo
21126823,319,Oligo
21135554,546,Oligo
21142003,661,Oligo
21159840,83,Oligo
21172121,141,Oligo
21189544,488,Oligo
21412626,553,Oligo
76647134,337,Oligo
10101291,96,Astro
10101327,70,Astro
10102206,26,Astro
10222853,33,Astro
10248033,140,Astro
10260309,91,Astro
10261026,42,Astro
10288185,192,Astro
10290265,106,Astro
10514454,134,Astro
10536568,49,Astro
11072071,45,Astro
11159965,82,Astro
11200645,25,Astro
11302830,9,Astro
11310718,21,Astro
11336574,16,Astro
11342432,56,Astro
11345331,116,Astro
11399321,66,Astro
11399871,35,Astro
11409232,1,Astro
11609672,42,Astro
11630705,71,Astro
20104101,55,Astro
20112377,97,Astro
20149910,23,Astro
20170043,52,Astro
20173942,133,Astro
20179164,33,Astro
20207013,160,Astro
20249897,30,Astro
20254740,71,Astro
20261901,171,Astro
20275399,18,Astro
20282398,44,Astro
20956867,142,Astro
20963866,95,Astro
20977678,62,Astro
20978133,123,Astro
21126823,34,Astro
21135554,155,Astro
21142003,69,Astro
21159840,31,Astro
21172121,28,Astro
21189544,61,Astro
21412626,65,Astro
76647134,87,Astro
10101291,23,Micro
10101327,26,Micro
10222853,24,Micro
10248033,46,Micro
10260309,52,Micro
10261026,26,Micro
10288185,95,Micro
10290265,1,Micro
10514454,59,Micro
10536568,25,Micro
11072071,56,Micro
11159965,25,Micro
11200645,54,Micro
11310718,16,Micro
11336574,32,Micro
11342432,41,Micro
11345331,19,Micro
11399321,48,Micro
11399871,20,Micro
11409232,16,Micro
11609672,19,Micro
11630705,13,Micro
20104101,36,Micro
20112377,63,Micro
20149910,9,Micro
20170043,54,Micro
20173942,69,Micro
20179164,11,Micro
20207013,67,Micro
20261901,30,Micro
20275399,15,Micro
20282398,25,Micro
20956867,66,Micro
20963866,73,Micro
20977678,41,Micro
20978133,46,Micro
21126823,1,Micro
21135554,23,Micro
21142003,41,Micro
21159840,61,Micro
21189544,56,Micro
21412626,8,Micro
76647134,31,Micro
10101291,2,Endo
10101327,13,Endo
10102206,3,Endo
10222853,19,Endo
10248033,10,Endo
10260309,42,Endo
10261026,19,Endo
10288185,51,Endo
10290265,16,Endo
10514454,22,Endo
10536568,8,Endo
11072071,11,Endo
11200645,22,Endo
11302830,4,Endo
11310718,7,Endo
11336574,1,Endo
11342432,1,Endo
11399321,22,Endo
11399871,4,Endo
11409232,1,Endo
11609672,10,Endo
